Team,Year,FCI
ANAHEIM,2000,275.64
ANAHEIM,2001,265.64
ANAHEIM,2002,212.28
ANAHEIM,2003,228.51
ANAHEIM,2004,
ANAHEIM,2005,205.77
ANAHEIM,2006,210.77
ANAHEIM,2007,260.1
ANAHEIM,2008,274.5
ANAHEIM,2009,274.5
ANAHEIM,2010,284.76
ANAHEIM,2011,309.72
ANAHEIM,2012,288.96
ANAHEIM,2013,284.96
ANAHEIM,2014,288.88
ATLANTA,2000,281.66
ATLANTA,2001,294.62
ATLANTA,2002,253.51
ATLANTA,2003,236.97
ATLANTA,2004,
ATLANTA,2005,259.19
ATLANTA,2006,266.64
ATLANTA,2007,234.44
ATLANTA,2008,262.48
ATLANTA,2009,282.04
ATLANTA,2010,262.88
ATLANTA,2011,
ATLANTA,2012,
ATLANTA,2013,
ATLANTA,2014,
BOSTON,2000,272.44
BOSTON,2001,297.44
BOSTON,2002,293.49
BOSTON,2003,304.39
BOSTON,2004,
BOSTON,2005,309.22
BOSTON,2006,327.77
BOSTON,2007,327.77
BOSTON,2008,352.6
BOSTON,2009,336.27
BOSTON,2010,336.27
BOSTON,2011,352.26
BOSTON,2012,378.06
BOSTON,2013,444.13
BOSTON,2014,509.8
BUFFALO,2000,237.06
BUFFALO,2001,238.52
BUFFALO,2002,222.84
BUFFALO,2003,208.83
BUFFALO,2004,
BUFFALO,2005,185.9
BUFFALO,2006,187.29
BUFFALO,2007,197.25
BUFFALO,2008,222.72
BUFFALO,2009,223.72
BUFFALO,2010,228.72
BUFFALO,2011,231
BUFFALO,2012,286.62
BUFFALO,2013,293.76
BUFFALO,2014,290.9
CALGARY,2000,180.11
CALGARY,2001,188.41
CALGARY,2002,178.87
CALGARY,2003,204.98
CALGARY,2004,
CALGARY,2005,246.53
CALGARY,2006,282.6
CALGARY,2007,344.56
CALGARY,2008,312.44
CALGARY,2009,336.66
CALGARY,2010,366.29
CALGARY,2011,374.51
CALGARY,2012,368.02
CALGARY,2013,366.85
CALGARY,2014,352.12
CAROLINA,2000,236.54
CAROLINA,2001,224.8
CAROLINA,2002,193.06
CAROLINA,2003,193.06
CAROLINA,2004,
CAROLINA,2005,170.61
CAROLINA,2006,217.62
CAROLINA,2007,205.57
CAROLINA,2008,219.52
CAROLINA,2009,239.04
CAROLINA,2010,251.83
CAROLINA,2011,251.83
CAROLINA,2012,283.06
CAROLINA,2013,303.63
CAROLINA,2014,341.17
CHICAGO,2000,286.28
CHICAGO,2001,276.28
CHICAGO,2002,276.28
CHICAGO,2003,286
CHICAGO,2004,
CHICAGO,2005,239.04
CHICAGO,2006,225.52
CHICAGO,2007,225.52
CHICAGO,2008,312.38
CHICAGO,2009,319.21
CHICAGO,2010,350.58
CHICAGO,2011,367.38
CHICAGO,2012,396.03
CHICAGO,2013,437.8
CHICAGO,2014,463.2
COLORADO,2000,339.44
COLORADO,2001,351.9
COLORADO,2002,236.13
COLORADO,2003,242.24
COLORADO,2004,
COLORADO,2005,235.91
COLORADO,2006,235.91
COLORADO,2007,240.19
COLORADO,2008,242.96
COLORADO,2009,242.96
COLORADO,2010,242.96
COLORADO,2011,242.96
COLORADO,2012,262.99
COLORADO,2013,266.99
COLORADO,2014,295.64
COLUMBUS,2000,275.6
COLUMBUS,2001,274.58
COLUMBUS,2002,255.58
COLUMBUS,2003,247.07
COLUMBUS,2004,
COLUMBUS,2005,230.98
COLUMBUS,2006,243.31
COLUMBUS,2007,250.12
COLUMBUS,2008,278.66
COLUMBUS,2009,269.16
COLUMBUS,2010,269.16
COLUMBUS,2011,278.31
COLUMBUS,2012,278.31
COLUMBUS,2013,281.24
COLUMBUS,2014,288.62
DALLAS,2000,292.22
DALLAS,2001,386.12
DALLAS,2002,239.43
DALLAS,2003,234.33
DALLAS,2004,
DALLAS,2005,222.94
DALLAS,2006,232.41
DALLAS,2007,234.39
DALLAS,2008,244.18
DALLAS,2009,246.64
DALLAS,2010,222.68
DALLAS,2011,223.78
DALLAS,2012,258.35
DALLAS,2013,263.11
DALLAS,2014,263.11
DETROIT,2000,292.56
DETROIT,2001,287.56
DETROIT,2002,303.88
DETROIT,2003,318.44
DETROIT,2004,
DETROIT,2005,261.51
DETROIT,2006,261.51
DETROIT,2007,251.03
DETROIT,2008,279.4
DETROIT,2009,279.4
DETROIT,2010,299.92
DETROIT,2011,306.12
DETROIT,2012,321.12
DETROIT,2013,365.86
DETROIT,2014,307.54
EDMONTON,2000,196.45
EDMONTON,2001,189.23
EDMONTON,2002,176.52
EDMONTON,2003,217.54
EDMONTON,2004,
EDMONTON,2005,246.1
EDMONTON,2006,283.65
EDMONTON,2007,331.95
EDMONTON,2008,294.61
EDMONTON,2009,332.07
EDMONTON,2010,346.46
EDMONTON,2011,369.48
EDMONTON,2012,416.76
EDMONTON,2013,389.64
EDMONTON,2014,393.75
FLORIDA,2000,250.84
FLORIDA,2001,254.92
FLORIDA,2002,202.82
FLORIDA,2003,217.05
FLORIDA,2004,
FLORIDA,2005,224.69
FLORIDA,2006,271.12
FLORIDA,2007,302.58
FLORIDA,2008,309.44
FLORIDA,2009,295.04
FLORIDA,2010,304.4
FLORIDA,2011,316.58
FLORIDA,2012,336.99
FLORIDA,2013,285.42
FLORIDA,2014,255.55
HARTFORD,2000,
HARTFORD,2001,
HARTFORD,2002,
HARTFORD,2003,
HARTFORD,2004,
HARTFORD,2005,
HARTFORD,2006,
HARTFORD,2007,
HARTFORD,2008,
HARTFORD,2009,
HARTFORD,2010,
HARTFORD,2011,
HARTFORD,2012,
HARTFORD,2013,
HARTFORD,2014,
LOS ANGELES,2000,312.12
LOS ANGELES,2001,321.32
LOS ANGELES,2002,280
LOS ANGELES,2003,274
LOS ANGELES,2004,
LOS ANGELES,2005,262.78
LOS ANGELES,2006,271.42
LOS ANGELES,2007,275.42
LOS ANGELES,2008,281.31
LOS ANGELES,2009,277.31
LOS ANGELES,2010,297.22
LOS ANGELES,2011,304.66
LOS ANGELES,2012,362.44
LOS ANGELES,2013,382
LOS ANGELES,2014,384.99
MONTREAL,2000,202.9
MONTREAL,2001,203.65
MONTREAL,2002,192.81
MONTREAL,2003,221.1
MONTREAL,2004,
MONTREAL,2005,284.2
MONTREAL,2006,332.27
MONTREAL,2007,388.24
MONTREAL,2008,361.25
MONTREAL,2009,412.12
MONTREAL,2010,474.44
MONTREAL,2011,486.28
MONTREAL,2012,440.68
MONTREAL,2013,431.34
MONTREAL,2014,410.04
NASHVILLE,2000,244.92
NASHVILLE,2001,237.08
NASHVILLE,2002,238.61
NASHVILLE,2003,243.47
NASHVILLE,2004,
NASHVILLE,2005,224.82
NASHVILLE,2006,242.63
NASHVILLE,2007,262.48
NASHVILLE,2008,273.38
NASHVILLE,2009,277.95
NASHVILLE,2010,288.67
NASHVILLE,2011,288.67
NASHVILLE,2012,336.26
NASHVILLE,2013,320.23
NASHVILLE,2014,343.14
NEW JERSEY,2000,304.48
NEW JERSEY,2001,317.72
NEW JERSEY,2002,309.68
NEW JERSEY,2003,309.68
NEW JERSEY,2004,
NEW JERSEY,2005,309.68
NEW JERSEY,2006,327.66
NEW JERSEY,2007,365.67
NEW JERSEY,2008,339.6
NEW JERSEY,2009,291.72
NEW JERSEY,2010,302.83
NEW JERSEY,2011,281.95
NEW JERSEY,2012,315.24
NEW JERSEY,2013,313.85
NEW JERSEY,2014,313.85
NEW YORK ISLANDERS,2000,209.72
NEW YORK ISLANDERS,2001,215.72
NEW YORK ISLANDERS,2002,234.76
NEW YORK ISLANDERS,2003,293.57
NEW YORK ISLANDERS,2004,
NEW YORK ISLANDERS,2005,255.77
NEW YORK ISLANDERS,2006,255.77
NEW YORK ISLANDERS,2007,281.46
NEW YORK ISLANDERS,2008,287.86
NEW YORK ISLANDERS,2009,298.33
NEW YORK ISLANDERS,2010,326.26
NEW YORK ISLANDERS,2011,288.74
NEW YORK ISLANDERS,2012,372.84
NEW YORK ISLANDERS,2013,381
NEW YORK ISLANDERS,2014,299.59
NEW YORK RANGERS,2000,373.28
NEW YORK RANGERS,2001,374.78
NEW YORK RANGERS,2002,279.83
NEW YORK RANGERS,2003,279.83
NEW YORK RANGERS,2004,
NEW YORK RANGERS,2005,280
NEW YORK RANGERS,2006,284.83
NEW YORK RANGERS,2007,302.83
NEW YORK RANGERS,2008,348.84
NEW YORK RANGERS,2009,364.49
NEW YORK RANGERS,2010,364.49
NEW YORK RANGERS,2011,393.8
NEW YORK RANGERS,2012,417.16
NEW YORK RANGERS,2013,443.06
NEW YORK RANGERS,2014,479.48
OTTAWA,2000,217.53
OTTAWA,2001,228.18
OTTAWA,2002,204.41
OTTAWA,2003,274.25
OTTAWA,2004,
OTTAWA,2005,242.76
OTTAWA,2006,266.93
OTTAWA,2007,306.63
OTTAWA,2008,276.09
OTTAWA,2009,297.38
OTTAWA,2010,328.92
OTTAWA,2011,314.06
OTTAWA,2012,261.11
OTTAWA,2013,259.92
OTTAWA,2014,296.19
PHILADELPHIA,2000,333.24
PHILADELPHIA,2001,327.74
PHILADELPHIA,2002,310.72
PHILADELPHIA,2003,318.22
PHILADELPHIA,2004,
PHILADELPHIA,2005,304.72
PHILADELPHIA,2006,314.15
PHILADELPHIA,2007,313.38
PHILADELPHIA,2008,322.8
PHILADELPHIA,2009,323.3
PHILADELPHIA,2010,329.59
PHILADELPHIA,2011,364.56
PHILADELPHIA,2012,361.49
PHILADELPHIA,2013,367.49
PHILADELPHIA,2014,386.11
PHOENIX,2000,237.52
PHOENIX,2001,241.88
PHOENIX,2002,214.28
PHOENIX,2003,214.28
PHOENIX,2004,
PHOENIX,2005,198.49
PHOENIX,2006,181.62
PHOENIX,2007,231.75
PHOENIX,2008,221.8
PHOENIX,2009,221.8
PHOENIX,2010,228.61
PHOENIX,2011,228.61
PHOENIX,2012,253.3
PHOENIX,2013,281.32
PHOENIX,2014,310.71
PITTSBURGH,2000,253.8
PITTSBURGH,2001,290.18
PITTSBURGH,2002,259.21
PITTSBURGH,2003,255.1
PITTSBURGH,2004,
PITTSBURGH,2005,216.96
PITTSBURGH,2006,216.96
PITTSBURGH,2007,257.74
PITTSBURGH,2008,276.3
PITTSBURGH,2009,292.71
PITTSBURGH,2010,326.14
PITTSBURGH,2011,335.25
PITTSBURGH,2012,369.07
PITTSBURGH,2013,378.07
PITTSBURGH,2014,390.84
QUEBEC,2000,
QUEBEC,2001,
QUEBEC,2002,
QUEBEC,2003,
QUEBEC,2004,
QUEBEC,2005,
QUEBEC,2006,
QUEBEC,2007,
QUEBEC,2008,
QUEBEC,2009,
QUEBEC,2010,
QUEBEC,2011,
QUEBEC,2012,
QUEBEC,2013,
QUEBEC,2014,
SAN JOSE,2000,276.88
SAN JOSE,2001,282.44
SAN JOSE,2002,243.59
SAN JOSE,2003,252.57
SAN JOSE,2004,
SAN JOSE,2005,219.02
SAN JOSE,2006,219.02
SAN JOSE,2007,243.92
SAN JOSE,2008,269.78
SAN JOSE,2009,277.78
SAN JOSE,2010,288.33
SAN JOSE,2011,304.42
SAN JOSE,2012,331.37
SAN JOSE,2013,340.32
SAN JOSE,2014,344.42
ST. LOUIS,2000,245.06
ST. LOUIS,2001,280.52
ST. LOUIS,2002,248.2
ST. LOUIS,2003,248.6
ST. LOUIS,2004,
ST. LOUIS,2005,237.17
ST. LOUIS,2006,197.39
ST. LOUIS,2007,175.41
ST. LOUIS,2008,193.26
ST. LOUIS,2009,234.61
ST. LOUIS,2010,245.28
ST. LOUIS,2011,249.27
ST. LOUIS,2012,296.78
ST. LOUIS,2013,308.55
ST. LOUIS,2014,327.32
TAMPA BAY,2000,240.24
TAMPA BAY,2001,247.86
TAMPA BAY,2002,183.71
TAMPA BAY,2003,214
TAMPA BAY,2004,
TAMPA BAY,2005,265.09
TAMPA BAY,2006,265.09
TAMPA BAY,2007,262.75
TAMPA BAY,2008,250.64
TAMPA BAY,2009,221.04
TAMPA BAY,2010,226.93
TAMPA BAY,2011,228.93
TAMPA BAY,2012,256.48
TAMPA BAY,2013,267.92
TAMPA BAY,2014,281.02
TORONTO,2000,328.62
TORONTO,2001,349.18
TORONTO,2002,263.28
TORONTO,2003,308.79
TORONTO,2004,
TORONTO,2005,265.81
TORONTO,2006,271.07
TORONTO,2007,476.02
TORONTO,2008,411.3
TORONTO,2009,572.32
TORONTO,2010,572.32
TORONTO,2011,626.45
TORONTO,2012,631.15
TORONTO,2013,615.62
TORONTO,2014,572.58
VANCOUVER,2000,243.53
VANCOUVER,2001,248.65
VANCOUVER,2002,211.89
VANCOUVER,2003,259.1
VANCOUVER,2004,
VANCOUVER,2005,300.47
VANCOUVER,2006,325
VANCOUVER,2007,384.78
VANCOUVER,2008,334.43
VANCOUVER,2009,342.43
VANCOUVER,2010,357.02
VANCOUVER,2011,371.94
VANCOUVER,2012,460.73
VANCOUVER,2013,479.53
VANCOUVER,2014,456.35
WASHINGTON,2000,236.68
WASHINGTON,2001,261.92
WASHINGTON,2002,244.95
WASHINGTON,2003,264.4
WASHINGTON,2004,
WASHINGTON,2005,230.61
WASHINGTON,2006,230.61
WASHINGTON,2007,231.9
WASHINGTON,2008,244.64
WASHINGTON,2009,284
WASHINGTON,2010,327.29
WASHINGTON,2011,354.67
WASHINGTON,2012,422.99
WASHINGTON,2013,393.48
WASHINGTON,2014,411.94
WINNIPEG,2000,
WINNIPEG,2001,
WINNIPEG,2002,
WINNIPEG,2003,
WINNIPEG,2004,
WINNIPEG,2005,
WINNIPEG,2006,
WINNIPEG,2007,
WINNIPEG,2008,
WINNIPEG,2009,
WINNIPEG,2010,
WINNIPEG,2011,485.52
WINNIPEG,2012,494.41
WINNIPEG,2013,419.04
WINNIPEG,2014,413.04